,shortcode,object
0,CaUsPbUquKV,comic_book
1,CaXWrkTqjSO,"suit, suit_of_clothes"
2,CcGXJaqJO9L,"sports_car, sport_car"
3,CdONzy7r3OT,trench_coat
4,CdxROg6ogoT,"hoopskirt, crinoline"
5,Ce01s-Fg_Dq,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
6,CfBI-qolzz8,"web_site, website, internet_site, site"
7,CfCLqhCr1vd,sweatshirt
8,Ci78ylUr0qL,oxygen_mask
9,Cj30YJSJp6b,whistle
10,Cj6XYb_v5c5,plate
11,CjgI3BYJ0JE,stage
12,CjIwT3ELkvJ,"hand-held_computer, hand-held_microcomputer"
13,CjP-IHdOoyP,stole
14,CjS-JtkrUX5,hartebeest
15,Cjt6ot2N1-Z,"microphone, mike"
16,Ck5lW6ADMry,broom
17,CkhUy2bL0_9,broom
18,CkH_7XzAgJk,Windsor_tie
19,CkrEFmISa7U,"horizontal_bar, high_bar"
20,CkwvR1qJe7_,comic_book
21,CkZojwNs_wX,"bow_tie, bow-tie, bowtie"
22,Ck_VFPYvXDW,drumstick
23,Ck_xzHOyK_U,"brassiere, bra, bandeau"
24,Cl6jeEfjH6F,"suit, suit_of_clothes"
25,Cl6jkY6jYTw,"cowboy_hat, ten-gallon_hat"
26,Cl6jmw9jMwI,wig
27,Cl6UaQytahp,"television, television_system"
28,Cl6UTwithef,"nematode, nematode_worm, roundworm"
29,Cl6UYqntj4S,"harmonica, mouth_organ, harp, mouth_harp"
30,Cli-df7M6JQ,"bonnet, poke_bonnet"
31,ClJeef9pyrj,"koala, koala_bear, kangaroo_bear, native_bear, Phascolarctos_cinereus"
32,ClMLu4usx2Y,"brassiere, bra, bandeau"
33,ClT2kXSrU7E,"lakeside, lakeshore"
34,CmBR9PXM6Xj,paper_towel
35,CmFJ8d2vTxY,"suit, suit_of_clothes"
36,CmID60UuGfR,acoustic_guitar
37,CmKTBsnO4TD,fountain_pen
38,CmLydAHyJ-W,"television, television_system"
39,CmLyh30ST1Z,"perfume, essence"
40,CmLylLcyNME,matchstick
41,CmOqBfyjnN1,torch
42,CmoyLaSJezX,marmoset
43,CmUYPgzp7v_,basketball
44,CmxYbJzvmgW,overskirt
45,Cn2qvc6PJu3,"feather_boa, boa"
46,CnFQm-6tEab,sarong
47,CnnI_rhIZjL,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
