,shortcode,post_type,username,like,comment,object_1,object_2,object_3,object_4,object_5,object_6,id,category_name,follower,following,ar_effect,type_business,type_professional,verified,reel_count,reel_avg_view,reel_avg_comment,reel_avg_like,reel_avg_duration,reel_frequency,media_count,media_avg_comment,media_avg_like,media_frequency
0,CrRK-JgA-tD,GraphSidecar,instagram,363269,6844,No Object,No Object,No Object,No Object,No Object,No Object,25025320,Digital creator,634637979,59,True,False,True,True,1256,9406907.25,13544.5,634500.6667,92.46633333,18.55488748,7393,8635.166667,410027.25,1.090776538
1,CrJYehaAhbh,GraphSidecar,instagram,546578,11354,No Object,No Object,No Object,No Object,No Object,No Object,25025320,Digital creator,634637979,59,True,False,True,True,1256,9406907.25,13544.5,634500.6667,92.46633333,18.55488748,7393,8635.166667,410027.25,1.090776538
2,Cq3I9ulJE6b,GraphImage,instagram,734124,11937,No Object,No Object,No Object,No Object,No Object,No Object,25025320,Digital creator,634637979,59,True,False,True,True,1256,9406907.25,13544.5,634500.6667,92.46633333,18.55488748,7393,8635.166667,410027.25,1.090776538
3,CrUE3a6tRs4,GraphSidecar,cristiano,7720568,42249,2 people,people playing football,people playing soccer,ball,No Object,No Object,173560420,Athlete,578782007,557,True,False,True,True,387,18249237.58,28318.83333,3607849.917,32.61633333,17.03613021,3475,52543.16667,7980593.083,2.203446097
4,CrK_zvLAofv,GraphImage,cristiano,14451079,103278,1 person,baby,No Object,No Object,No Object,No Object,173560420,Athlete,578782007,557,True,False,True,True,387,18249237.58,28318.83333,3607849.917,32.61633333,17.03613021,3475,52543.16667,7980593.083,2.203446097
5,CrGMggNq1Cb,GraphSidecar,cristiano,9705257,48990,1 person,playing football,playing soccer,ball,stadium,No Object,173560420,Athlete,578782007,557,True,False,True,True,387,18249237.58,28318.83333,3607849.917,32.61633333,17.03613021,3475,52543.16667,7980593.083,2.203446097
6,CrEHoMbK0_C,GraphImage,cristiano,8006265,45701,1 person,standing,phone,wrist watch,screen,tablet,173560420,Athlete,578782007,557,True,False,True,True,387,18249237.58,28318.83333,3607849.917,32.61633333,17.03613021,3475,52543.16667,7980593.083,2.203446097
7,Cq8QZGDIix1,GraphImage,cristiano,6771138,48148,2 people,people golfing,golf course,text,No Object,No Object,173560420,Athlete,578782007,557,True,False,True,True,387,18249237.58,28318.83333,3607849.917,32.61633333,17.03613021,3475,52543.16667,7980593.083,2.203446097
8,CqoZ8pRo91y,GraphSidecar,cristiano,12950245,94281,1 person,playing football,playing soccer,ball,stadium,No Object,173560420,Athlete,578782007,557,True,False,True,True,387,18249237.58,28318.83333,3607849.917,32.61633333,17.03613021,3475,52543.16667,7980593.083,2.203446097
9,CqjQjCII98k,GraphSidecar,cristiano,7526703,45901,2 people,people playing football,people playing soccer,text,No Object,No Object,173560420,Athlete,578782007,557,True,False,True,True,387,18249237.58,28318.83333,3607849.917,32.61633333,17.03613021,3475,52543.16667,7980593.083,2.203446097
10,CqeFZMFotaH,GraphSidecar,cristiano,12188336,69223,1 person,playing football,playing soccer,cake,pie,No Object,173560420,Athlete,578782007,557,True,False,True,True,387,18249237.58,28318.83333,3607849.917,32.61633333,17.03613021,3475,52543.16667,7980593.083,2.203446097
11,Cra8IRetvaD,GraphImage,leomessi,5836716,39458,1 person,playing football,playing soccer,cleats,No Object,No Object,427553890,Athlete,457406606,292,False,True,True,True,163,10901379.58,12207.16667,1867137.833,59.27466667,20.5237586,1026,48772.83333,8066776.833,2.714165838
12,CrX_ap2ND34,GraphSidecar,leomessi,10436285,73436,1 person,playing soccer,,No Object,No Object,No Object,427553890,Athlete,457406606,292,False,True,True,True,163,10901379.58,12207.16667,1867137.833,59.27466667,20.5237586,1026,48772.83333,8066776.833,2.714165838
13,CrUHRtzNU1v,GraphSidecar,leomessi,7255017,28839,3 people,people playing football,people playing soccer,stadium,text,No Object,427553890,Athlete,457406606,292,False,True,True,True,163,10901379.58,12207.16667,1867137.833,59.27466667,20.5237586,1026,48772.83333,8066776.833,2.714165838
14,CrG1zcBNFQj,GraphSidecar,leomessi,9592735,44614,1 person,playing football,playing soccer,stadium,text,No Object,427553890,Athlete,457406606,292,False,True,True,True,163,10901379.58,12207.16667,1867137.833,59.27466667,20.5237586,1026,48772.83333,8066776.833,2.714165838
